order_item_id,order_id,product_id,quantity,unit_price,unit_price_after_discount,line_total,discount_percent,commission_amount,maintenance_amount,shipping_fee_item,estimated_delivery_start,estimated_delivery_end,item_status,is_campaign,product_campaign_id,customer_id,order_date
325484,203146,P000827,1,258.37,258.37,258.37,0.0,7.75,0.0,70.0,2026-01-02,2026-01-03 00:00:00,Refunded,0,,C017518,2025-12-31
372452,232487,P003500,2,3481.15,3481.15,6962.31,0.0,556.98,0.0,150.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C039467,2025-12-31
325926,203427,P001202,1,6772.89,6772.89,6772.89,0.0,541.83,0.0,200.0,2026-01-02,2026-01-04 00:00:00,Completed,0,,C015493,2025-12-31
230008,143628,P002249,3,5242.5,5242.5,15727.51,0.0,1258.2,0.0,200.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C011497,2025-12-31
168703,105293,P001062,1,6973.43,6973.43,6973.43,0.0,557.87,0.0,100.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C055235,2025-12-31
94393,59004,P001484,1,10409.26,10409.26,10409.26,0.0,832.74,0.0,200.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C034193,2025-12-31
167555,104590,P003347,1,948.28,948.28,948.28,0.0,75.86,0.0,50.0,2026-01-01,2026-01-02 00:00:00,Cancelled,0,,C045471,2025-12-31
167556,104590,P004784,1,118.82,118.82,118.82,0.0,3.56,0.59,70.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C045471,2025-12-31
62575,39070,P000430,1,199.97,199.97,199.97,0.0,6.0,0.0,70.0,2026-01-02,2026-01-03 00:00:00,Completed,0,,C056296,2025-12-31
229968,143602,P000937,1,5100.37,5100.37,5100.37,0.0,408.03,0.0,150.0,2026-01-02,2026-01-04 00:00:00,Completed,0,,C032816,2025-12-31
62692,39141,P003231,1,219.05,219.05,219.05,0.0,6.57,0.0,70.0,2026-01-02,2026-01-03 00:00:00,Completed,0,,C017719,2025-12-31
230009,143628,P001612,1,1093.64,1093.64,1093.64,0.0,131.24,0.0,20.0,2026-01-01,2026-01-02 00:00:00,Completed,0,,C011497,2025-12-31
94574,59126,P003011,1,14841.11,14841.11,14841.11,0.0,1187.29,0.0,200.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C019166,2025-12-31
418984,261558,P000095,1,141.2,141.2,141.2,0.0,4.24,0.0,70.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C046508,2025-12-31
4463,2791,P004809,1,15386.49,15386.49,15386.49,0.0,769.32,76.93,100.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C001316,2025-12-31
466852,291525,P002695,1,9884.93,9884.93,9884.93,0.0,494.25,0.0,100.0,2026-01-02,2026-01-03 00:00:00,Completed,0,,C021533,2025-12-31
102351,63963,P003116,1,9804.08,9804.08,9804.08,0.0,784.33,0.0,200.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C047822,2025-12-31
167287,104433,P003550,2,7711.23,7711.23,15422.45,0.0,1233.8,0.0,150.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C040324,2025-12-31
132203,82492,P002215,1,11496.78,11496.78,11496.78,0.0,574.84,0.0,100.0,2026-01-02,2026-01-04 00:00:00,Completed,0,,C055855,2025-12-31
326146,203563,P001396,1,11714.74,11714.74,11714.74,0.0,585.74,0.0,30.0,2025-12-31,2026-01-02 00:00:00,Cancelled,0,,C023602,2025-12-31
369467,230669,P002795,2,10676.73,10676.73,21353.47,0.0,1067.67,0.0,100.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C051607,2025-12-31
325925,203427,P003503,2,2907.91,2907.91,5815.83,0.0,581.58,0.0,30.0,2026-01-02,2026-01-03 00:00:00,Completed,0,,C015493,2025-12-31
164136,102446,P003991,2,8934.89,8934.89,17869.79,0.0,893.49,89.35,30.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C028396,2025-12-31
330119,206037,P003275,1,356.75,356.75,356.75,0.0,10.7,0.0,50.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C015956,2025-12-31
244192,152441,P004726,1,29077.73,29077.73,29077.73,0.0,1453.89,145.39,50.0,2026-01-02,2026-01-04 00:00:00,Completed,0,,C029760,2025-12-31
102353,63963,P003538,1,7495.15,7495.15,7495.15,0.0,599.61,0.0,150.0,2025-12-31,2026-01-02 00:00:00,Completed,0,,C047822,2025-12-31
246550,153928,P002811,1,5379.14,5379.14,5379.14,0.0,430.33,0.0,200.0,2026-01-01,2026-01-03 00:00:00,Completed,0,,C041442,2025-12-31
